Neoplasm,Level,Parent,Malignant Primary,Malignant Secondary,Ca in situ,Benign,Uncertain Behavior,Unspecified Behavior
hypogastric,3,gland(secondary),,C77.5,,D36.0,D48.7,D49.89
ileocolic,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
iliac,3,gland(secondary),,C77.5,,D36.0,D48.7,D49.89
infraclavicular,3,gland(secondary),,C77.3,,D36.0,D48.7,D49.89
"inguina, inguinal",3,gland(secondary),,C77.4,,D36.0,D48.7,D49.89
innominate,3,gland(secondary),,C77.1,,D36.0,D48.7,D49.89
intercostal,3,gland(secondary),,C77.1,,D36.0,D48.7,D49.89
intestinal,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
intrabdominal,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
intrapelvic,3,gland(secondary),,C77.5,,D36.0,D48.7,D49.89
intrathoracic,3,gland(secondary),,C77.1,,D36.0,D48.7,D49.89
jugular,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
leg,3,gland(secondary),,C77.4,,D36.0,D48.7,D49.89
limb,3,gland(secondary),,,,,,
lower,4,limb,,C77.4,,D36.0,D48.7,D49.89
upper,4,limb,,C77.3,,D36.0,D48.7,D49.89
lower limb,3,gland(secondary),,C77.4,,D36.0,D48.7,D49.89
lumbar,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
mandibular,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
mediastinal,3,gland(secondary),,C77.1,,D36.0,D48.7,D49.89
mesenteric(inferior) (superior),3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
midcolic,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
multiple sites in categories C77.0 - C77.5,3,gland(secondary),,C77.8,,D36.0,D48.7,D49.89
neck,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
obturator,3,gland(secondary),,C77.5,,D36.0,D48.7,D49.89
occipital,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
pancreatic,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
para-aortic,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
paracervical,3,gland(secondary),,C77.5,,D36.0,D48.7,D49.89
parametrial,3,gland(secondary),,C77.5,,D36.0,D48.7,D49.89
parasternal,3,gland(secondary),,C77.1,,D36.0,D48.7,D49.89
parotid,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
pectoral,3,gland(secondary),,C77.3,,D36.0,D48.7,D49.89
pelvic,3,gland(secondary),,C77.5,,D36.0,D48.7,D49.89
peri-aortic,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
peripancreatic,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
popliteal,3,gland(secondary),,C77.4,,D36.0,D48.7,D49.89
porta hepatis,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
portal,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
preauricular,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
prelaryngeal,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
presymphysial,3,gland(secondary),,C77.5,,D36.0,D48.7,D49.89
pretracheal,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
primary(any site) NEC,3,gland(secondary),C96.9,,,,,
pulmonary(hiler),3,gland(secondary),,C77.1,,D36.0,D48.7,D49.89
pyloric,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
retroperitoneal,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
retropharyngeal,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
Rosenmuller's,3,gland(secondary),,C77.4,,D36.0,D48.7,D49.89
sacral,3,gland(secondary),,C77.5,,D36.0,D48.7,D49.89
scalene,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
site NEC,3,gland(secondary),,C77.9,,D36.0,D48.7,D49.89
splenic(hilar),3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
subclavicular,3,gland(secondary),,C77.3,,D36.0,D48.7,D49.89
subinguinal,3,gland(secondary),,C77.4,,D36.0,D48.7,D49.89
sublingual,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
submandibular,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
submaxillary,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
submental,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
subscapular,3,gland(secondary),,C77.3,,D36.0,D48.7,D49.89
supraclavicular,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
thoracic,3,gland(secondary),,C77.1,,D36.0,D48.7,D49.89
tibial,3,gland(secondary),,C77.4,,D36.0,D48.7,D49.89
tracheal,3,gland(secondary),,C77.1,,D36.0,D48.7,D49.89
tracheobronchial,3,gland(secondary),,C77.1,,D36.0,D48.7,D49.89
upper limb,3,gland(secondary),,C77.3,,D36.0,D48.7,D49.89
Virchow's,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
node,2,lymph, lymphatic channel NEC,,,,,,
primary NEC,3,node,C96.9,,,,,
vessel,2,lymph, lymphatic channel NEC,C49.9,C79.89,,D21.9,D48.1,D49.2
Mackenrodt's ligament,1,Neoplasm, neoplastic,C57.7,C79.82,D07.39,D28.7,D39.8,D49.59
malar,1,Neoplasm, neoplastic,C41.0,C79.51,,D16.4-,D48.0,D49.2
region,2,malar,,,,,,
mammary gland,1,Neoplasm, neoplastic,,,,,,
mandible,1,Neoplasm, neoplastic,C41.1,C79.51,,D16.5-,D48.0,D49.2
alveolar,2,mandible,,,,,,
mucosa(carcinoma),3,alveolar,C03.1,C79.89,D00.03,D10.39,D37.09,D49.0
ridge or process,3,alveolar,C41.1,C79.51,,D16.5-,D48.0,D49.2
marrow(bone) NEC,1,Neoplasm, neoplastic,C96.9,C79.52,,,D47.9,D49.89
mastectomy site(skin),1,Neoplasm, neoplastic,C44.501,C79.2,,,,
specified as breast tissue,2,mastectomy site(skin),C50.8-,C79.81,,,,
mastoid(air cells) (antrum) (cavity),1,Neoplasm, neoplastic,C30.1,C78.39,D02.3,D14.0,D38.5,D49.1
bone or process,2,mastoid(air cells) (antrum) (cavity),C41.0,C79.51,,D16.4-,D48.0,D49.2
"maxilla, maxillary(superior)",1,Neoplasm, neoplastic,C41.0,C79.51,,D16.4-,D48.0,D49.2
alveolar,2,maxilla, maxillary(superior),,,,,,
mucosa,3,alveolar,C03.0,C79.89,D00.03,D10.39,D37.09,D49.0
ridge or process(carcinoma),3,alveolar,C41.0,C79.51,,D16.4-,D48.0,D49.2
antrum,2,maxilla, maxillary(superior),C31.0,C78.39,D02.3,D14.0,D38.5,D49.1
carcinoma,2,maxilla, maxillary(superior),C03.0,C79.51,,,,
inferior,2,maxilla, maxillary(superior),,,,,,
sinus,2,maxilla, maxillary(superior),C31.0,C78.39,D02.3,D14.0,D38.5,D49.1
meatus external(ear),1,Neoplasm, neoplastic,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
"Meckel diverticulum, malignant",1,Neoplasm, neoplastic,C17.3,C78.4,D01.49,D13.39,D37.2,D49.0
"mediastinum, mediastinal",1,Neoplasm, neoplastic,C38.3,C78.1,,D15.2,D38.3,D49.89
anterior,2,mediastinum, mediastinal,C38.1,C78.1,,D15.2,D38.3,D49.89
posterior,2,mediastinum, mediastinal,C38.2,C78.1,,D15.2,D38.3,D49.89
medulla,1,Neoplasm, neoplastic,,,,,,
adrenal,2,medulla,C74.1-,C79.7-,D09.3,D35.0-,D44.1-,D49.7
oblongata,2,medulla,C71.7,C79.31,,D33.1,D43.1,D49.6
meibomian gland,1,Neoplasm, neoplastic,C44.10-,C79.2,D04.1-,D23.1-,D48.5,D49.2
basal cell carcinoma,2,meibomian gland,C44.11-,,,,,
sebaceous cell,2,meibomian gland,C44.13-,,,,,
specified type NEC,2,meibomian gland,C44.19-,,,,,
squamous cell carcinoma,2,meibomian gland,C44.12-,,,,,
melanoma,1,Neoplasm, neoplastic,,,,,,
meninges,1,Neoplasm, neoplastic,C70.9,C79.49,,D32.9,D42.9,D49.7
brain,2,meninges,C70.0,C79.32,,D32.0,D42.0,D49.7
cerebral,2,meninges,C70.0,C79.32,,D32.0,D42.0,D49.7
crainial,2,meninges,C70.0,C79.32,,D32.0,D42.0,D49.7
intracranial,2,meninges,C70.0,C79.32,,D32.0,D42.0,D49.7
spinal(cord),2,meninges,C70.1,C79.49,,D32.1,D42.1,D49.7
"meniscus, knee joint(lateral) (medial)",1,Neoplasm, neoplastic,C40.2-,C79.51,,D16.2-,D48.0,D49.2
Merkel cell,1,Neoplasm, neoplastic,,,,,,
"mesentery, mesenteric",1,Neoplasm, neoplastic,C48.1,C78.6,,D20.1,D48.4,D49.0
mesoappendix,1,Neoplasm, neoplastic,C48.1,C78.6,,D20.1,D48.4,D49.0
mesocolon,1,Neoplasm, neoplastic,C48.1,C78.6,,D20.1,D48.4,D49.0
mesopharynx,1,Neoplasm, neoplastic,,,,,,
mesosalpinx,1,Neoplasm, neoplastic,C57.1,C79.82,D07.39,D28.2,D39.8,D49.59
mesothelial tissue,1,Neoplasm, neoplastic,,,,,,
mesothelioma,1,Neoplasm, neoplastic,,,,,,
mesovarium,1,Neoplasm, neoplastic,C57.1,C79.82,D07.39,D28.2,D39.8,D49.59
metacarpus(any bone),1,Neoplasm, neoplastic,C40.1-,C79.51,,D16.1-,,
metastatic NEC,1,Neoplasm, neoplastic,,C79.9,,,,
metatarsus(any bone),1,Neoplasm, neoplastic,C40.3-,C79.51,,D16.3-,,
midbrain,1,Neoplasm, neoplastic,C71.7,C79.31,,D33.1,D43.1,D49.6
milk duct,1,Neoplasm, neoplastic,,,,,,
mons,1,Neoplasm, neoplastic,,,,,,
pubis,2,mons,C51.9,C79.82,D07.1,D28.0,D39.8,D49.59
veneris,2,mons,C51.9,C79.82,D07.1,D28.0,D39.8,D49.59
motor tract,1,Neoplasm, neoplastic,C72.9,C79.49,,D33.9,D43.9,D49.7
brain,2,motor tract,C71.9,C79.31,,D33.2,D43.2,D49.6
cauda equina,2,motor tract,C72.1,C79.49,,D33.4,D43.4,D49.7
spinal,2,motor tract,C72.0,C79.49,,D33.4,D43.4,D49.7
mouth,1,Neoplasm, neoplastic,C06.9,C79.89,D00.00,D10.30,D37.09,D49.0
book-leaf,2,mouth,C06.89,C79.89,,,,
floor,2,mouth,C04.9,C79.89,D00.06,D10.2,D37.09,D49.0
anterior portion,3,floor,C04.0,C79.89,D00.06,D10.2,D37.09,D49.0
lateral portion,3,floor,C04.1,C79.89,D00.06,D10.2,D37.09,D49.0
overlapping lesion,3,floor,C04.8,,,,,
overlapping NEC,2,mouth,C06.80,,,,,
roof,2,mouth,C05.9,C79.89,D00.00,D10.39,D37.09,D49.0
specified part NEC,2,mouth,C06.89,C79.89,D00.00,D10.39,D37.09,D49.0
vestibule,2,mouth,C06.1,C79.89,D00.00,D10.39,D37.09,D49.0
mucosa,1,Neoplasm, neoplastic,,,,,,
alveolar(ridge or process),2,mucosa,C03.9,C79.89,D00.03,D10.39,D37.09,D49.0
lower,3,alveolar(ridge or process),C03.1,C79.89,D00.03,D10.39,D37.09,D49.0
upper,3,alveolar(ridge or process),C03.0,C79.89,D00.03,D10.39,D37.09,D49.0
buccal,2,mucosa,C06.0,C79.89,D00.02,D10.39,D37.09,D49.0
cheek,2,mucosa,C06.0,C79.89,D00.02,D10.39,D37.09,D49.0
lip,2,mucosa,,,,,,
nasal,2,mucosa,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
oral,2,mucosa,C06.0,C79.89,D00.02,D10.39,D37.09,D49.0
Mullerian duct,1,Neoplasm, neoplastic,,,,,,
female,2,Mullerian duct,C57.7,C79.82,D07.39,D28.7,D39.8,D49.59
male,2,Mullerian duct,C63.7,C79.82,D07.69,D29.8,D40.8,D49.59
muscle,1,Neoplasm, neoplastic,,,,,,
extraocular,2,muscle,C69.6-,C79.49,D09.2-,D31.6-,D48.7,D49.89
myocardium,1,Neoplasm, neoplastic,C38.0,C79.89,,D15.1,D48.7,D49.89
myometrium,1,Neoplasm, neoplastic,C54.2,C79.82,D07.0,D26.1,D39.0,D49.59
myopericardium,1,Neoplasm, neoplastic,C38.0,C79.89,,D15.1,D48.7,D49.89
nabothian gland(follicle),1,Neoplasm, neoplastic,C53.0,C79.82,D06.0,D26.0,D39.0,D49.59
nail,1,Neoplasm, neoplastic,C44.90,C79.2,D04.9,D23.9,D48.5,D49.2
finger,2,nail,C44.60-,C79.2,D04.6-,D23.6-,D48.5,D49.2
toe,2,nail,C44.70-,C79.2,D04.7-,D23.7-,D48.5,D49.2
"nares, naris(anterior) (posterior)",1,Neoplasm, neoplastic,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
nasal,1,Neoplasm, neoplastic,,,,,,
nasolabial groove,1,Neoplasm, neoplastic,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
nasolacrimal duct,1,Neoplasm, neoplastic,C69.5-,C79.49,D09.2-,D31.5-,D48.7,D49.89
"nasopharynx, nasopharyngeal",1,Neoplasm, neoplastic,C11.9,C79.89,D00.08,D10.6,D37.05,D49.0
floor,2,nasopharynx, nasopharyngeal,C11.3,C79.89,D00.08,D10.6,D37.05,D49.0
overlapping lesion,2,nasopharynx, nasopharyngeal,C11.8,,,,,
roof,2,nasopharynx, nasopharyngeal,C11.0,C79.89,D00.08,D10.6,D37.05,D49.0
wall,2,nasopharynx, nasopharyngeal,C11.9,C79.89,D00.08,D10.6,D37.05,D49.0
anterior,3,wall,C11.3,C79.89,D00.08,D10.6,D37.05,D49.0
lateral,3,wall,C11.2,C79.89,D00.08,D10.6,D37.05,D49.0
posterior,3,wall,C11.1,C79.89,D00.08,D10.6,D37.05,D49.0
superior,3,wall,C11.0,C79.89,D00.08,D10.6,D37.05,D49.0
nates,1,Neoplasm, neoplastic,C44.509,C79.2,D04.5,D23.5,D48.5,D49.2
neck NEC,1,Neoplasm, neoplastic,C76.0,C79.89,D09.8,D36.7,D48.7,D49.89
skin,2,neck NEC,C44.40,,,,,
basal cell carcinoma,3,skin,C44.41,,,,,
specified type NEC,3,skin,C44.49,,,,,
squamous cell carcinoma,3,skin,C44.42,,,,,
nerve(ganglion),1,Neoplasm, neoplastic,C47.9,C79.89,,D36.10,D48.2,D49.2
abducens,2,nerve(ganglion),C72.59,C79.49,,D33.3,D43.3,D49.7
accessory(spinal),2,nerve(ganglion),C72.59,C79.49,,D33.3,D43.3,D49.7
acoustic,2,nerve(ganglion),C72.4-,C79.49,,D33.3,D43.3,D49.7
auditory,2,nerve(ganglion),C72.4-,C79.49,,D33.3,D43.3,D49.7
autonomic NEC,2,nerve(ganglion),C47.9,C79.89,,D36.10,D48.2,D49.2
brachial,2,nerve(ganglion),C47.1-,C79.89,,D36.12,D48.2,D49.2
cranial,2,nerve(ganglion),C72.50,C79.49,,D33.3,D43.3,D49.7
specified NEC,3,cranial,C72.59,C79.49,,D33.3,D43.3,D49.7
facial,2,nerve(ganglion),C72.59,C79.49,,D33.3,D43.3,D49.7
femoral,2,nerve(ganglion),C47.2-,C79.89,,D36.13,D48.2,D49.2
ganglion NEC,2,nerve(ganglion),C47.9,C79.89,,D36.10,D48.2,D49.2
glossopharyngeal,2,nerve(ganglion),C72.59,C79.49,,D33.3,D43.3,D49.7
hypoglossal,2,nerve(ganglion),C72.59,C79.49,,D33.3,D43.3,D49.7
intercostal,2,nerve(ganglion),C47.3,C79.89,,D36.14,D48.2,D49.2
lumbar,2,nerve(ganglion),C47.6,C79.89,,D36.17,D48.2,D49.2
median,2,nerve(ganglion),C47.1-,C79.89,,D36.12,D48.2,D49.2
obturator,2,nerve(ganglion),C47.2-,C79.89,,D36.13,D48.2,D49.2
oculomotor,2,nerve(ganglion),C72.59,C79.49,,D33.3,D43.3,D49.7
olfactory,2,nerve(ganglion),C47.2-,C79.49,,D33.3,D43.3,D49.7
optic,2,nerve(ganglion),C72.3-,C79.49,,D33.3,D43.3,D49.7
parasympathetic NEC,2,nerve(ganglion),C47.9,C79.89,,D36.10,D48.2,D49.2
peripheral NEC,2,nerve(ganglion),C47.9,C79.89,,D36.10,D48.2,D49.2
abdomen,3,peripheral NEC,C47.4,C79.89,,D36.15,D48.2,D49.2
abdominal wall,3,peripheral NEC,C47.4,C79.89,,D36.15,D48.2,D49.2
ankle,3,peripheral NEC,C47.2-,C79.89,,D36.13,D48.2,D49.2
antecubital fossa or space,3,peripheral NEC,C47.1-,C79.89,,D36.12,D48.2,D49.2
arm,3,peripheral NEC,C47.1-,C79.89,,D36.12,D48.2,D49.2
auricle(ear),3,peripheral NEC,C47.0,C79.89,,D36.11,D48.2,D49.2
axilla,3,peripheral NEC,C47.3,C79.89,,D36.12,D48.2,D49.2
back,3,peripheral NEC,C47.6,C79.89,,D36.17,D48.2,D49.2
buttock,3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
calf,3,peripheral NEC,C47.2-,C79.89,,D36.13,D48.2,D49.2
cervical region,3,peripheral NEC,C47.0,C79.89,,D36.11,D48.2,D49.2
cheek,3,peripheral NEC,C47.0,C79.89,,D36.11,D48.2,D49.2
chest(wall),3,peripheral NEC,C47.3,C79.89,,D36.14,D48.2,D49.2
chin,3,peripheral NEC,C47.0,C79.89,,D36.11,D48.2,D49.2
ear(external),3,peripheral NEC,C47.0,C79.89,,D36.11,D48.2,D49.2
elbow,3,peripheral NEC,C47.1-,C79.89,,D36.12,D48.2,D49.2
extrarectal,3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
extremity,3,peripheral NEC,C47.9,C79.89,,D36.10,D48.2,D49.2
lower,4,extremity,C47.2-,C79.89,,D36.13,D48.2,D49.2
upper,4,extremity,C47.1-,C79.89,,D36.12,D48.2,D49.2
eyelid,3,peripheral NEC,C47.0,C79.89,,D36.11,D48.2,D49.2
face,3,peripheral NEC,C47.0,C79.89,,D36.11,D48.2,D49.2
finger,3,peripheral NEC,C47.1-,C79.89,,D36.12,D48.2,D49.2
flank,3,peripheral NEC,C47.6,C79.89,,D36.17,D48.2,D49.2
foot,3,peripheral NEC,C47.2-,C79.89,,D36.13,D48.2,D49.2
forearm,3,peripheral NEC,C47.1-,C79.89,,D36.12,D48.2,D49.2
forehead,3,peripheral NEC,C47.0,C79.89,,D36.11,D48.2,D49.2
gluteal region,3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
groin,3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
hand,3,peripheral NEC,C47.1-,C79.89,,D36.12,D48.2,D49.2
head,3,peripheral NEC,C47.0,C79.89,,D36.11,D48.2,D49.2
heel,3,peripheral NEC,C47.2-,C79.89,,D36.13,D48.2,D49.2
hip,3,peripheral NEC,C47.2-,C79.89,,D36.13,D48.2,D49.2
infraclavicular region,3,peripheral NEC,C47.3,C79.89,,D36.14,D48.2,D49.2
inguinal(canal) (region),3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
intrathoracic,3,peripheral NEC,C47.3,C79.89,,D36.14,D48.2,D49.2
ischiorectal fossa,3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
knee,3,peripheral NEC,C47.2-,C79.89,,D36.13,D48.2,D49.2
leg,3,peripheral NEC,C47.2-,C79.89,,D36.13,D48.2,D49.2
limb NEC,3,peripheral NEC,C47.9,C79.89,,D36.10,D48.2,D49.2
lower,4,limb NEC,C47.2-,C79.89,,D36.13,D48.2,D49.2
upper,4,limb NEC,C47.1-,C79.89,,D36.12,D48.2,D49.2
nates,3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
neck,3,peripheral NEC,C47.0,C79.89,,D36.11,D48.2,D49.2
orbit,3,peripheral NEC,C69.6-,C79.49,,D31.6-,D48.7,D49.2
pararectal,3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
paraurethral,3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
paravaginal,3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
pelvis(floor),3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
pelvoabdominal,3,peripheral NEC,C47.8,C79.89,,D36.17,D48.2,D49.2
perineum,3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
perirectal(tissue),3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
periurethral(tissue),3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
popliteal fossa or space,3,peripheral NEC,C47.2-,C79.89,,D36.13,D48.2,D49.2
presacral,3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
pterygoid fossa,3,peripheral NEC,C47.0,C79.89,,D36.11,D48.2,D49.2
rectovaginal septum or wall,3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
rectovesical,3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
sacrococcygeal region,3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
scalp,3,peripheral NEC,C47.0,C79.89,,D36.11,D48.2,D49.2
scapular region,3,peripheral NEC,C47.3,C79.89,,D36.14,D48.2,D49.2
shoulder,3,peripheral NEC,C47.1-,C79.89,,D36.12,D48.2,D49.2
submental,3,peripheral NEC,C47.0,C79.89,,D36.11,D48.2,D49.2
supraclavicular region,3,peripheral NEC,C47.0,C79.89,,D36.11,D48.2,D49.2
temple,3,peripheral NEC,C47.0,C79.89,,D36.11,D48.2,D49.2
temporal region,3,peripheral NEC,C47.0,C79.89,,D36.11,D48.2,D49.2
thigh,3,peripheral NEC,C47.2-,C79.89,,D36.13,D48.2,D49.2
thoracic(duct) (wall),3,peripheral NEC,C47.3,C79.89,,D36.14,D48.2,D49.2
thorax,3,peripheral NEC,C47.3,C79.89,,D36.14,D48.2,D49.2
thumb,3,peripheral NEC,C47.1-,C79.89,,D36.12,D48.2,D49.2
toe,3,peripheral NEC,C47.2-,C79.89,,D36.13,D48.2,D49.2
trunk,3,peripheral NEC,C47.6,C79.89,,D36.17,D48.2,D49.2
umbilicus,3,peripheral NEC,C47.4,C79.89,,D36.15,D48.2,D49.2
vesicorectal,3,peripheral NEC,C47.5,C79.89,,D36.16,D48.2,D49.2
wrist,3,peripheral NEC,C47.1-,C79.89,,D36.12,D48.2,D49.2
radial,2,nerve(ganglion),C47.1-,C79.89,,D36.12,D48.2,D49.2
sacral,2,nerve(ganglion),C47.5,C79.89,,D36.16,D48.2,D49.2
sciatic,2,nerve(ganglion),C47.2-,C79.89,,D36.13,D48.2,D49.2
spinal NEC,2,nerve(ganglion),C47.9,C79.89,,D36.10,D48.2,D49.2
accessory,3,spinal NEC,C72.59,C79.49,,D33.3,D43.3,D49.7
sympathetic NEC,2,nerve(ganglion),C47.9,C79.89,,D36.10,D48.2,D49.2
trigeminal,2,nerve(ganglion),C72.59,C79.49,,D33.3,D43.3,D49.7
trochlear,2,nerve(ganglion),C72.59,C79.49,,D33.3,D43.3,D49.7
ulnar,2,nerve(ganglion),C47.1-,C79.89,,D36.12,D48.2,D49.2
vagus,2,nerve(ganglion),C72.59,C79.49,,D33.3,D43.3,D49.7
nervous system(central),1,Neoplasm, neoplastic,C72.9,C79.40,,D33.9,D43.9,D49.7
autonomic,2,nervous system(central),,,,,,
parasympathetic,2,nervous system(central),,,,,,
specified site NEC,2,nervous system(central),,C79.49,,D33.7,D43.8,
sympathetic,2,nervous system(central),,,,,,
nevus,1,Neoplasm, neoplastic,,,,,,
nipple,1,Neoplasm, neoplastic,C50.0-,C79.81,D05.-,D24.-,,
"nose, nasal",1,Neoplasm, neoplastic,C76.0,C79.89,D09.8,D36.7,D48.7,D49.89
ala(external) (nasi),2,nose, nasal,C44.301,C79.2,D04.39,D23.39,D48.5,D49.2
bone,2,nose, nasal,C41.0,C79.51,,D16.4-,D48.0,D49.2
cartilage,2,nose, nasal,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
cavity,2,nose, nasal,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
choana,2,nose, nasal,C11.3,C79.89,D00.08,D10.6,D37.05,D49.0
external(skin),2,nose, nasal,C44.301,C79.2,D04.39,D23.39,D48.5,D49.2
fossa,2,nose, nasal,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
internal,2,nose, nasal,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
mucosa,2,nose, nasal,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
septum,2,nose, nasal,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
posterior margin,3,septum,C11.3,C79.89,D00.08,D10.6,D37.05,D49.0
sinus,2,nose, nasal,,,,,,
skin,2,nose, nasal,C44.301,C79.2,D04.39,D23.39,D48.5,D49.2
basal cell carcinoma,3,skin,C44.311,,,,,
specified type NEC,3,skin,C44.391,,,,,
squamous cell carcinoma,3,skin,C44.321,,,,,
turbinate(mucosa),2,nose, nasal,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
bone,3,turbinate(mucosa),C41.0,C79.51,,D16.4-,D48.0,D49.2
vestibule,2,nose, nasal,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
nostril,1,Neoplasm, neoplastic,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
nucleus pulposus,1,Neoplasm, neoplastic,C41.2,C79.51,,D16.6,D48.0,D49.2
occipital,1,Neoplasm, neoplastic,,,,,,
bone,2,occipital,C41.0,C79.51,,D16.4-,D48.0,D49.2
"lobe or pole, brain",2,occipital,C71.4,C79.31,,D33.0,D43.0,D49.6
odontogenic,1,Neoplasm, neoplastic,,,,,,
olfactory nerve or bulb,1,Neoplasm, neoplastic,C72.2-,C79.49,,D33.3,D43.3,D49.7
olive(brain),1,Neoplasm, neoplastic,C71.7,C79.31,,D33.1,D43.1,D49.6
omentum,1,Neoplasm, neoplastic,C48.1,C78.6,,D20.1,D48.4,D49.0
operculum(brain),1,Neoplasm, neoplastic,C71.0,C79.31,,D33.0,D43.0,D49.6
"optic nerve, chiasm, or tract",1,Neoplasm, neoplastic,C72.3-,C79.49,,D33.3,D43.3,D49.7
oral(cavity),1,Neoplasm, neoplastic,C06.9,C79.89,D00.00,D10.30,D37.09,D49.0
ill-defined,2,oral(cavity),C14.8,C79.89,D00.00,D10.30,D37.09,D49.0
mucosa,2,oral(cavity),C06.0,C79.89,D00.02,D10.39,D37.09,D49.0
orbit,1,Neoplasm, neoplastic,C69.6-,C79.49,D09.2-,D31.6-,D48.7,D49.89
autonomic nerve,2,orbit,C69.6-,C79.49,,D31.6-,D48.7,D49.2
bone,2,orbit,C41.0,C79.51,,D16.4-,D48.0,D49.2
eye,2,orbit,C69.6-,C79.49,D09.2-,D31.6-,D48.7,D49.89
peripheral nerves,2,orbit,C69.6-,C79.49,,D31.6-,D48.7,D49.2
soft parts,2,orbit,C69.6-,C79.49,D09.2-,D31.6-,D48.7,D49.89
organ of Zuckerkandl,1,Neoplasm, neoplastic,C75.5,C79.89,,D35.6,D44.7,D49.7
oropharynx,1,Neoplasm, neoplastic,C10.9,C79.89,D00.08,D10.5,D37.05,D49.0
branchial cleft(vestige),2,oropharynx,C10.4,C79.89,D00.08,D10.5,D37.05,D49.0
junctional region,2,oropharynx,C10.8,C79.89,D00.08,D10.5,D37.05,D49.0
lateral wall,2,oropharynx,C10.2,C79.89,D00.08,D10.5,D37.05,D49.0
overlapping lesion,2,oropharynx,C10.8,,,,,
pillars or fauces,2,oropharynx,C09.1,C79.89,D00.08,D10.5,D37.05,D49.0
posterior wall,2,oropharynx,C10.3,C79.89,D00.08,D10.5,D37.05,D49.0
vallecula,2,oropharynx,C10.0,C79.89,D00.08,D10.5,D37.05,D49.0
os,1,Neoplasm, neoplastic,,,,,,
