Substance,Level,Parent,Poisoning Accidental (unintentional),Poisoning Intentional self-harm,Poisoning Assault,Poisoning Undetermined,Adverse effect,Underdosing
Phenolsulfonphthalein,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Phenomorphan,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,,
Phenonyl,0,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
Phenoperidine,0,,T40.491,T40.492,T40.493,T40.494,,
Phenopyrazone,0,,T46.991,T46.992,T46.993,T46.994,T46.995,T46.996
Phenoquin,0,,T50.4X1,T50.4X2,T50.4X3,T50.4X4,T50.4X5,T50.4X6
Phenothiazine(psychotropic) NEC,0,,T43.3X1,T43.3X2,T43.3X3,T43.3X4,T43.3X5,T43.3X6
insecticide,1,Phenothiazine(psychotropic) NEC,T60.2X1,T60.2X2,T60.2X3,T60.2X4,,
Phenothrin,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Phenoxybenzamine,0,,T46.7X1,T46.7X2,T46.7X3,T46.7X4,T46.7X5,T46.7X6
Phenoxyethanol,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Phenoxymethyl penicillin,0,,T36.0X1,T36.0X2,T36.0X3,T36.0X4,T36.0X5,T36.0X6
Phenprobamate,0,,T42.8X1,T42.8X2,T42.8X3,T42.8X4,T42.8X5,T42.8X6
Phenprocoumon,0,,T45.511,T45.512,T45.513,T45.514,T45.515,T45.516
Phensuximide,0,,T42.2X1,T42.2X2,T42.2X3,T42.2X4,T42.2X5,T42.2X6
Phentermine,0,,T50.5X1,T50.5X2,T50.5X3,T50.5X4,T50.5X5,T50.5X6
Phenthicillin,0,,T36.0X1,T36.0X2,T36.0X3,T36.0X4,T36.0X5,T36.0X6
Phentolamine,0,,T46.7X1,T46.7X2,T46.7X3,T46.7X4,T46.7X5,T46.7X6
Phenyl,0,,,,,,,
butazone,1,Phenyl,T39.2X1,T39.2X2,T39.2X3,T39.2X4,T39.2X5,T39.2X6
enediamine,1,Phenyl,T65.3X1,T65.3X2,T65.3X3,T65.3X4,,
hydrazine,1,Phenyl,T65.3X1,T65.3X2,T65.3X3,T65.3X4,,
antineoplastic,2,hydrazine,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
mercuric compounds,1,Phenyl,,,,,,
salicylate,1,Phenyl,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
Phenylalanine mustard,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Phenylbutazone,0,,T39.2X1,T39.2X2,T39.2X3,T39.2X4,T39.2X5,T39.2X6
Phenylenediamine,0,,T65.3X1,T65.3X2,T65.3X3,T65.3X4,,
Phenylephrine,0,,T44.4X1,T44.4X2,T44.4X3,T44.4X4,T44.4X5,T44.4X6
Phenylethylbiguanide,0,,T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
Phenylmercuric,0,,,,,,,
acetate,1,Phenylmercuric,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
borate,1,Phenylmercuric,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
nitrate,1,Phenylmercuric,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Phenylmethylbarbitone,0,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
Phenylpropanol,0,,T47.5X1,T47.5X2,T47.5X3,T47.5X4,T47.5X5,T47.5X6
Phenylpropanolamine,0,,T44.991,T44.992,T44.993,T44.994,T44.995,T44.996
Phenylsulfthion,0,,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
Phenyltoloxamine,0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
"Phenyramidol, phenyramidon",0,,T39.8X1,T39.8X2,T39.8X3,T39.8X4,T39.8X5,T39.8X6
Phenytoin,0,,T42.0X1,T42.0X2,T42.0X3,T42.0X4,T42.0X5,T42.0X6
with Phenobarbital,1,Phenytoin,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
pHisoHex,0,,T49.2X1,T49.2X2,T49.2X3,T49.2X4,T49.2X5,T49.2X6
Pholcodine,0,,T48.3X1,T48.3X2,T48.3X3,T48.3X4,T48.3X5,T48.3X6
Pholedrine,0,,T46.991,T46.992,T46.993,T46.994,T46.995,T46.996
Phorate,0,,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
Phosdrin,0,,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
Phosfolan,0,,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
Phosgene(gas),0,,T59.891,T59.892,T59.893,T59.894,,
Phosphamidon,0,,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
Phosphate,0,,T65.891,T65.892,T65.893,T65.894,,
laxative,1,Phosphate,T47.4X1,T47.4X2,T47.4X3,T47.4X4,T47.4X5,T47.4X6
organic,1,Phosphate,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
solvent,1,Phosphate,T52.91,T52.92,T52.93,T52.94,,
tricresyl,1,Phosphate,T65.891,T65.892,T65.893,T65.894,,
Phosphine,0,,T57.1X1,T57.1X2,T57.1X3,T57.1X4,,
fumigant,1,Phosphine,T57.1X1,T57.1X2,T57.1X3,T57.1X4,,
Phospholine,0,,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
Phosphoric acid,0,,T54.2X1,T54.2X2,T54.2X3,T54.2X4,,
Phosphorus(compound) NEC,0,,T57.1X1,T57.1X2,T57.1X3,T57.1X4,,
pesticide,1,Phosphorus(compound) NEC,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
Phthalates,0,,T65.891,T65.892,T65.893,T65.894,,
Phthalic anhydride,0,,T65.891,T65.892,T65.893,T65.894,,
Phthalimidoglutarimide,0,,T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
Phthalylsulfathiazole,0,,T37.0X1,T37.0X2,T37.0X3,T37.0X4,T37.0X5,T37.0X6
Phylloquinone,0,,T45.7X1,T45.7X2,T45.7X3,T45.7X4,T45.7X5,T45.7X6
Physeptone,0,,T40.3X1,T40.3X2,T40.3X3,T40.3X4,T40.3X5,T40.3X6
Physostigma venenosum,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Physostigmine,0,,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
Phytolacca decandra,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
berries,1,Phytolacca decandra,T62.1X1,T62.1X2,T62.1X3,T62.1X4,,
Phytomenadione,0,,T45.7X1,T45.7X2,T45.7X3,T45.7X4,T45.7X5,T45.7X6
Phytonadione,0,,T45.7X1,T45.7X2,T45.7X3,T45.7X4,T45.7X5,T45.7X6
Picoperine,0,,T48.3X1,T48.3X2,T48.3X3,T48.3X4,T48.3X5,T48.3X6
Picosulfate(sodium),0,,T47.2X1,T47.2X2,T47.2X3,T47.2X4,T47.2X5,T47.2X6
Picric(acid),0,,T54.2X1,T54.2X2,T54.2X3,T54.2X4,,
Picrotoxin,0,,T50.7X1,T50.7X2,T50.7X3,T50.7X4,T50.7X5,T50.7X6
Piketoprofen,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Pilocarpine,0,,T44.1X1,T44.1X2,T44.1X3,T44.1X4,T44.1X5,T44.1X6
Pilocarpus(jaborandi) extract,0,,T44.1X1,T44.1X2,T44.1X3,T44.1X4,T44.1X5,T44.1X6
Pilsicainide(hydrochloride),0,,T46.2X1,T46.2X2,T46.2X3,T46.2X4,T46.2X5,T46.2X6
Pimaricin,0,,T36.7X1,T36.7X2,T36.7X3,T36.7X4,T36.7X5,T36.7X6
Pimeclone,0,,T50.7X1,T50.7X2,T50.7X3,T50.7X4,T50.7X5,T50.7X6
Pimelic ketone,0,,T52.8X1,T52.8X2,T52.8X3,T52.8X4,,
Pimethixene,0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
Piminodine,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,T40.2X5,T40.2X6
Pimozide,0,,T43.591,T43.592,T43.593,T43.594,T43.595,T43.596
Pinacidil,0,,T46.5X1,T46.5X2,T46.5X3,T46.5X4,T46.5X5,T46.5X6
Pinaverium bromide,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Pinazepam,0,,T42.4X1,T42.4X2,T42.4X3,T42.4X4,T42.4X5,T42.4X6
Pindolol,0,,T44.7X1,T44.7X2,T44.7X3,T44.7X4,T44.7X5,T44.7X6
Pindone,0,,T60.4X1,T60.4X2,T60.4X3,T60.4X4,,
Pine oil(disinfectant),0,,T65.891,T65.892,T65.893,T65.894,,
Pinkroot,0,,T37.4X1,T37.4X2,T37.4X3,T37.4X4,T37.4X5,T37.4X6
Pipadone,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,,
Pipamazine,0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
Pipamperone,0,,T43.4X1,T43.4X2,T43.4X3,T43.4X4,T43.4X5,T43.4X6
Pipazetate,0,,T48.3X1,T48.3X2,T48.3X3,T48.3X4,T48.3X5,T48.3X6
Pipemidic acid,0,,T37.8X1,T37.8X2,T37.8X3,T37.8X4,T37.8X5,T37.8X6
Pipenzolate bromide,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Piperacetazine,0,,T43.3X1,T43.3X2,T43.3X3,T43.3X4,T43.3X5,T43.3X6
Piperacillin,0,,T36.0X1,T36.0X2,T36.0X3,T36.0X4,T36.0X5,T36.0X6
Piperazine,0,,T37.4X1,T37.4X2,T37.4X3,T37.4X4,T37.4X5,T37.4X6
estrone sulfate,1,Piperazine,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
Piper cubeba,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Piperidione,0,,T48.3X1,T48.3X2,T48.3X3,T48.3X4,T48.3X5,T48.3X6
Piperidolate,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Piperocaine,0,,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
infiltration(subcutaneous),1,Piperocaine,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
nerve block(peripheral) (plexus),1,Piperocaine,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
topical(surface),1,Piperocaine,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
Piperonyl butoxide,0,,T60.8X1,T60.8X2,T60.8X3,T60.8X4,,
Pipethanate,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Pipobroman,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Pipotiazine,0,,T43.3X1,T43.3X2,T43.3X3,T43.3X4,T43.3X5,T43.3X6
Pipoxizine,0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
Pipradrol,0,,T43.691,T43.692,T43.693,T43.694,T43.695,T43.696
Piprinhydrinate,0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
Pirarubicin,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Pirazinamide,0,,T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
Pirbuterol,0,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
Pirenzepine,0,,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
Piretanide,0,,T50.1X1,T50.1X2,T50.1X3,T50.1X4,T50.1X5,T50.1X6
Piribedil,0,,T42.8X1,T42.8X2,T42.8X3,T42.8X4,T42.8X5,T42.8X6
Piridoxilate,0,,T46.3X1,T46.3X2,T46.3X3,T46.3X4,T46.3X5,T46.3X6
Piritramide,0,,T40.491,T40.492,T40.493,T40.494,,
Piromidic acid,0,,T37.8X1,T37.8X2,T37.8X3,T37.8X4,T37.8X5,T37.8X6
Piroxicam,0,,T39.391,T39.392,T39.393,T39.394,T39.395,T39.396
beta-cyclodextrin complex,1,Piroxicam,T39.8X1,T39.8X2,T39.8X3,T39.8X4,T39.8X5,T39.8X6
Pirozadil,0,,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
Piscidia(bark) (erythrina),0,,T39.8X1,T39.8X2,T39.8X3,T39.8X4,T39.8X5,T39.8X6
Pitch,0,,T65.891,T65.892,T65.893,T65.894,,
Pitkin's solution,0,,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
Pitocin,0,,T48.0X1,T48.0X2,T48.0X3,T48.0X4,T48.0X5,T48.0X6
Pitressin(tannate),0,,T38.891,T38.892,T38.893,T38.894,T38.895,T38.896
Pituitary extracts(posterior),0,,T38.891,T38.892,T38.893,T38.894,T38.895,T38.896
anterior,1,Pituitary extracts(posterior),T38.811,T38.812,T38.813,T38.814,T38.815,T38.816
Pituitrin,0,,T38.891,T38.892,T38.893,T38.894,T38.895,T38.896
Pivampicillin,0,,T36.0X1,T36.0X2,T36.0X3,T36.0X4,T36.0X5,T36.0X6
Pivmecillinam,0,,T36.0X1,T36.0X2,T36.0X3,T36.0X4,T36.0X5,T36.0X6
Placental hormone,0,,T38.891,T38.892,T38.893,T38.894,T38.895,T38.896
Placidyl,0,,T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
Plague vaccine,0,,T50.A91,T50.A92,T50.A93,T50.A94,T50.A95,T50.A96
Plant,0,,,,,,,
food or fertilizer NEC,1,Plant,T65.891,T65.892,T65.893,T65.894,,
containing herbicide,2,food or fertilizer NEC,T60.3X1,T60.3X2,T60.3X3,T60.3X4,,
"noxious, used as food",1,Plant,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
berries,2,noxious, used as food,T62.1X1,T62.1X2,T62.1X3,T62.1X4,,
seeds,2,noxious, used as food,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
specified type NEC,2,noxious, used as food,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Plasma,0,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
expander NEC,1,Plasma,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
protein fraction(human),1,Plasma,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
Plasmanate,0,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
Plasminogen(tissue) activator,0,,T45.611,T45.612,T45.613,T45.614,T45.615,T45.616
Plaster dressing,0,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
Plastic dressing,0,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
Plegicil,0,,T43.3X1,T43.3X2,T43.3X3,T43.3X4,T43.3X5,T43.3X6
Plicamycin,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Podophyllotoxin,0,,T49.8X1,T49.8X2,T49.8X3,T49.8X4,T49.8X5,T49.8X6
Podophyllum(resin),0,,T49.4X1,T49.4X2,T49.4X3,T49.4X4,T49.4X5,T49.4X6
Poison NEC,0,,T65.91,T65.92,T65.93,T65.94,,
Poisonous berries,0,,T62.1X1,T62.1X2,T62.1X3,T62.1X4,,
Pokeweed(any part),0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Poldine metilsulfate,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Polidexide(sulfate),0,,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
Polidocanol,0,,T46.8X1,T46.8X2,T46.8X3,T46.8X4,T46.8X5,T46.8X6
Poliomyelitis vaccine,0,,T50.B91,T50.B92,T50.B93,T50.B94,T50.B95,T50.B96
Polish(car) (floor) (furni-ture) (metal) (porcelain) (silver),0,,T65.891,T65.892,T65.893,T65.894,,
abrasive,1,Polish(car) (floor) (furni-ture) (metal) (porcelain) (silver),T65.891,T65.892,T65.893,T65.894,,
porcelain,1,Polish(car) (floor) (furni-ture) (metal) (porcelain) (silver),T65.891,T65.892,T65.893,T65.894,,
Poloxalkol,0,,T47.4X1,T47.4X2,T47.4X3,T47.4X4,T47.4X5,T47.4X6
Poloxamer,0,,T47.4X1,T47.4X2,T47.4X3,T47.4X4,T47.4X5,T47.4X6
Polyaminostyrene resins,0,,T50.3X1,T50.3X2,T50.3X3,T50.3X4,T50.3X5,T50.3X6
Polycarbophil,0,,T47.4X1,T47.4X2,T47.4X3,T47.4X4,T47.4X5,T47.4X6
Polychlorinated biphenyl,0,,T65.891,T65.892,T65.893,T65.894,,
Polycycline,0,,T36.4X1,T36.4X2,T36.4X3,T36.4X4,T36.4X5,T36.4X6
Polyester fumes,0,,T59.891,T59.892,T59.893,T59.894,,
Polyester resin hardener,0,,T52.91,T52.92,T52.93,T52.94,,
fumes,1,Polyester resin hardener,T59.891,T59.892,T59.893,T59.894,,
Polyestradiol phosphate,0,,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
Polyethanolamine alkyl sulfate,0,,T49.2X1,T49.2X2,T49.2X3,T49.2X4,T49.2X5,T49.2X6
Polyethylene adhesive,0,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
Polyferose,0,,T45.4X1,T45.4X2,T45.4X3,T45.4X4,T45.4X5,T45.4X6
Polygeline,0,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
Polymyxin,0,,T36.8X1,T36.8X2,T36.8X3,T36.8X4,T36.8X5,T36.8X6
B,1,Polymyxin,T36.8X1,T36.8X2,T36.8X3,T36.8X4,T36.8X5,T36.8X6
ENT agent,2,B,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
ophthalmic preparation,2,B,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
topical NEC,2,B,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
E sulfate(eye preparation),1,Polymyxin,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
Polynoxylin,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Polyoestradiol phosphate,0,,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
Polyoxymethyleneurea,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Polysilane,0,,T47.8X1,T47.8X2,T47.8X3,T47.8X4,T47.8X5,T47.8X6
Polytetrafluoroethylene(inhaled),0,,T59.891,T59.892,T59.893,T59.894,,
Polythiazide,0,,T50.2X1,T50.2X2,T50.2X3,T50.2X4,T50.2X5,T50.2X6
Polyvidone,0,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
Polyvinylpyrrolidone,0,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
Pontocaine(hydrochloride) (infiltration) (topical),0,,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
nerve block(peripheral) (plexus),1,Pontocaine(hydrochloride) (infiltration) (topical),T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
spinal,1,Pontocaine(hydrochloride) (infiltration) (topical),T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
Porfiromycin,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Posterior pituitary hormone NEC,0,,T38.891,T38.892,T38.893,T38.894,T38.895,T38.896
Pot,0,,T40.711,T40.712,T40.713,T40.714,T40.715,T40.716
Potash(caustic),0,,T54.3X1,T54.3X2,T54.3X3,T54.3X4,,
Potassic saline injection(lactated),0,,T50.3X1,T50.3X2,T50.3X3,T50.3X4,T50.3X5,T50.3X6
Potassium(salts) NEC,0,,T50.3X1,T50.3X2,T50.3X3,T50.3X4,T50.3X5,T50.3X6
aminobenzoate,1,Potassium(salts) NEC,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
aminosalicylate,1,Potassium(salts) NEC,T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
antimony ' tartrate',1,Potassium(salts) NEC,T37.8X1,T37.8X2,T37.8X3,T37.8X4,T37.8X5,T37.8X6
arsenite(solution),1,Potassium(salts) NEC,T57.0X1,T57.0X2,T57.0X3,T57.0X4,,
bichromate,1,Potassium(salts) NEC,T56.2X1,T56.2X2,T56.2X3,T56.2X4,,
bisulfate,1,Potassium(salts) NEC,T47.3X1,T47.3X2,T47.3X3,T47.3X4,T47.3X5,T47.3X6
bromide,1,Potassium(salts) NEC,T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
canrenoate,1,Potassium(salts) NEC,T50.0X1,T50.0X2,T50.0X3,T50.0X4,T50.0X5,T50.0X6
carbonate,1,Potassium(salts) NEC,T54.3X1,T54.3X2,T54.3X3,T54.3X4,,
chlorate NEC,1,Potassium(salts) NEC,T65.891,T65.892,T65.893,T65.894,,
chloride,1,Potassium(salts) NEC,T50.3X1,T50.3X2,T50.3X3,T50.3X4,T50.3X5,T50.3X6
citrate,1,Potassium(salts) NEC,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
cyanide,1,Potassium(salts) NEC,T65.0X1,T65.0X2,T65.0X3,T65.0X4,,
ferric hexacyanoferrate(medicinal),1,Potassium(salts) NEC,T50.6X1,T50.6X2,T50.6X3,T50.6X4,T50.6X5,T50.6X6
nonmedicinal,2,ferric hexacyanoferrate(medicinal),T65.891,T65.892,T65.893,T65.894,,
Fluoride,1,Potassium(salts) NEC,T57.8X1,T57.8X2,T57.8X3,T57.8X4,,
glucaldrate,1,Potassium(salts) NEC,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
hydroxide,1,Potassium(salts) NEC,T54.3X1,T54.3X2,T54.3X3,T54.3X4,,
iodate,1,Potassium(salts) NEC,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
iodide,1,Potassium(salts) NEC,T48.4X1,T48.4X2,T48.4X3,T48.4X4,T48.4X5,T48.4X6
nitrate,1,Potassium(salts) NEC,T57.8X1,T57.8X2,T57.8X3,T57.8X4,,
oxalate,1,Potassium(salts) NEC,T65.891,T65.892,T65.893,T65.894,,
perchlorate(nonmedicinal) NEC,1,Potassium(salts) NEC,T65.891,T65.892,T65.893,T65.894,,
antithyroid,2,perchlorate(nonmedicinal) NEC,T38.2X1,T38.2X2,T38.2X3,T38.2X4,T38.2X5,T38.2X6
medicinal,2,perchlorate(nonmedicinal) NEC,T38.2X1,T38.2X2,T38.2X3,T38.2X4,T38.2X5,T38.2X6
Permanganate(nonmedicinal),1,Potassium(salts) NEC,T65.891,T65.892,T65.893,T65.894,,
medicinal,2,Permanganate(nonmedicinal),T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
sulfate,1,Potassium(salts) NEC,T47.2X1,T47.2X2,T47.2X3,T47.2X4,T47.2X5,T47.2X6
Potassium-removing resin,0,,T50.3X1,T50.3X2,T50.3X3,T50.3X4,T50.3X5,T50.3X6
Potassium-retaining drug,0,,T50.3X1,T50.3X2,T50.3X3,T50.3X4,T50.3X5,T50.3X6
Povidone,0,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
iodine,1,Povidone,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Practolol,0,,T44.7X1,T44.7X2,T44.7X3,T44.7X4,T44.7X5,T44.7X6
Prajmalium bitartrate,0,,T46.2X1,T46.2X2,T46.2X3,T46.2X4,T46.2X5,T46.2X6
Pralidoxime(iodide),0,,T50.6X1,T50.6X2,T50.6X3,T50.6X4,T50.6X5,T50.6X6
chloride,1,Pralidoxime(iodide),T50.6X1,T50.6X2,T50.6X3,T50.6X4,T50.6X5,T50.6X6
Pramiverine,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Pramocaine,0,,T49.1X1,T49.1X2,T49.1X3,T49.1X4,T49.1X5,T49.1X6
Pramoxine,0,,T49.1X1,T49.1X2,T49.1X3,T49.1X4,T49.1X5,T49.1X6
Prasterone,0,,T38.7X1,T38.7X2,T38.7X3,T38.7X4,T38.7X5,T38.7X6
Pravastatin,0,,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
Prazepam,0,,T42.4X1,T42.4X2,T42.4X3,T42.4X4,T42.4X5,T42.4X6
Praziquantel,0,,T37.4X1,T37.4X2,T37.4X3,T37.4X4,T37.4X5,T37.4X6
Prazitone,0,,T43.291,T43.292,T43.293,T43.294,T43.295,T43.296
Prazosin,0,,T44.6X1,T44.6X2,T44.6X3,T44.6X4,T44.6X5,T44.6X6
Prednicarbate,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Prednimustine,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Prednisolone,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
ENT agent,1,Prednisolone,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
ophthalmic preparation,1,Prednisolone,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
steaglate,1,Prednisolone,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
topical NEC,1,Prednisolone,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Prednisone,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
Prednylidene,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
Pregnandiol,0,,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
Pregneninolone,0,,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
Preludin,0,,T43.691,T43.692,T43.693,T43.694,T43.695,T43.696
Premarin,0,,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
Premedication anesthetic,0,,T41.201,T41.202,T41.203,T41.204,T41.205,T41.206
Prenalterol,0,,T44.5X1,T44.5X2,T44.5X3,T44.5X4,T44.5X5,T44.5X6
Prenoxdiazine,0,,T48.3X1,T48.3X2,T48.3X3,T48.3X4,T48.3X5,T48.3X6
Prenylamine,0,,T46.3X1,T46.3X2,T46.3X3,T46.3X4,T46.3X5,T46.3X6
Preparation H,0,,T49.8X1,T49.8X2,T49.8X3,T49.8X4,T49.8X5,T49.8X6
"Preparation, local",0,,T49.4X1,T49.4X2,T49.4X3,T49.4X4,T49.4X5,T49.4X6
Preservative(nonmedicinal),0,,T65.891,T65.892,T65.893,T65.894,,
medicinal,1,Preservative(nonmedicinal),T50.901,T50.902,T50.903,T50.904,T50.905,T50.906
wood,1,Preservative(nonmedicinal),T60.91,T60.92,T60.93,T60.94,,
